topic_model_vector,nclus,avg_silhouette
Bert,2,0.42608933674128663
Bert,3,0.4717899216134421
Bert,4,0.482300090205185
Bert,5,0.4902342840026724
Bert,6,0.4614307999166801
Bert,7,0.4829695982608835
Bert,8,0.5041133737829195
Bert,9,0.5227080816356318
