Num_Topics,Alpha,Beta,Coherence
10,symmetric,0.81,0.434146726
18,0.81,0.21,0.434016267
4,0.21,0.81,0.433813036
10,0.81,0.61,0.433767422
6,0.01,0.61,0.433695332
14,asymmetric,0.21,0.433594768
16,0.61,0.61,0.433580752
4,symmetric,symmetric,0.433562553
18,0.21,0.41,0.433259155
10,asymmetric,0.21,0.433205672
20,0.01,0.61,0.43311732
12,symmetric,0.41,0.432917202
12,0.81,0.01,0.432510592
8,0.81,0.61,0.432378015
6,0.21,0.61,0.43235804
18,symmetric,0.21,0.432288294
10,0.41,symmetric,0.432222817
8,0.81,symmetric,0.432068317
8,0.81,0.81,0.431925706
14,0.61,symmetric,0.431640143
16,asymmetric,0.61,0.431490641
14,0.21,0.01,0.43145259
10,0.21,0.41,0.431446628
8,symmetric,0.01,0.431258673
6,0.61,0.41,0.431212608
6,symmetric,0.01,0.430872783
6,asymmetric,0.21,0.430858165
8,0.01,symmetric,0.430855204
6,0.61,0.81,0.430821252
12,0.21,0.21,0.430786835
12,0.81,symmetric,0.430696472
10,symmetric,0.21,0.430344341
6,0.21,0.41,0.430173871
20,0.81,0.81,0.429989185
10,0.61,0.41,0.429927466
18,0.41,0.01,0.429896347
12,0.41,0.61,0.429886477
14,asymmetric,symmetric,0.429832113
6,0.21,0.21,0.429775223
10,asymmetric,0.01,0.429485602
8,asymmetric,0.21,0.429207868
4,0.61,0.41,0.429074892
20,0.21,0.81,0.429035227
4,0.81,0.21,0.428942968
20,0.01,0.41,0.428817867
8,0.41,0.41,0.428575313
14,symmetric,symmetric,0.428508261
14,0.21,0.41,0.428491538
14,0.61,0.61,0.428476767
10,0.81,0.21,0.428459483
20,0.81,0.21,0.428396891
16,0.41,0.61,0.428060796
16,asymmetric,0.41,0.427880351
14,0.81,0.61,0.427644785
4,0.61,0.61,0.427604784
16,asymmetric,0.01,0.427373672
12,0.01,0.01,0.4273518
18,0.61,0.61,0.427200529
6,0.41,0.81,0.427130779
20,0.21,0.41,0.427105962
4,0.81,0.01,0.427049196
4,symmetric,0.01,0.426976952
6,0.41,0.01,0.426976159
12,0.41,0.81,0.426945865
10,0.01,0.61,0.426914644
14,0.41,0.41,0.426865577
18,0.61,0.01,0.42624924
6,0.61,0.61,0.42607756
14,symmetric,0.81,0.426063301
16,0.01,symmetric,0.4257886
18,0.01,0.41,0.425739583
16,asymmetric,symmetric,0.425710364
8,symmetric,0.61,0.42558166
12,symmetric,0.01,0.425415265
12,0.21,symmetric,0.425112479
6,0.01,0.01,0.425081342
18,asymmetric,0.41,0.425049723
4,0.41,0.41,0.42504214
8,0.41,0.61,0.424996668
4,asymmetric,symmetric,0.424867552
4,symmetric,0.21,0.42486518
4,0.41,symmetric,0.424814337
14,0.81,0.41,0.424704563
14,asymmetric,0.61,0.424617944
6,0.41,0.21,0.424515389
14,symmetric,0.41,0.424465178
10,0.41,0.01,0.424121009
12,0.21,0.41,0.423897012
10,0.21,0.01,0.423807522
20,0.41,0.61,0.423581125
14,0.21,symmetric,0.423537846
6,0.81,0.21,0.423138748
12,0.41,0.01,0.423106868
6,0.21,0.81,0.423039964
18,0.81,symmetric,0.422978923
10,0.21,symmetric,0.422957434
6,0.41,symmetric,0.422923149
12,asymmetric,0.21,0.422771912
16,0.01,0.21,0.422630293
14,0.41,0.81,0.422613148
4,0.01,0.21,0.422542407
20,symmetric,0.21,0.422438767
6,0.61,0.01,0.422322691
4,0.61,0.81,0.422289748
10,symmetric,0.01,0.422235206
4,0.01,symmetric,0.422007962
8,0.01,0.61,0.421836787
20,0.81,symmetric,0.421563651
4,asymmetric,0.81,0.421270432
4,asymmetric,0.41,0.421217035
6,0.61,symmetric,0.42120446
6,asymmetric,0.41,0.420884687
20,asymmetric,0.21,0.420884549
20,0.61,0.01,0.420863468
10,0.41,0.21,0.420763904
20,0.81,0.01,0.420699069
6,0.81,0.01,0.420352716
16,symmetric,symmetric,0.420337131
10,0.41,0.81,0.420296233
6,0.21,symmetric,0.420118408
12,0.01,0.21,0.420018138
16,0.61,0.41,0.419352215
20,0.61,0.41,0.419158847
12,0.21,0.81,0.419129115
8,0.41,0.81,0.419088821
20,0.21,0.61,0.419053138
16,0.61,0.81,0.419006375
4,asymmetric,0.01,0.418986342
4,0.61,symmetric,0.418716264
8,0.21,0.41,0.41861928
14,asymmetric,0.01,0.418586128
12,0.41,0.41,0.418503268
6,0.01,symmetric,0.41841902
4,symmetric,0.61,0.418379295
16,0.21,0.01,0.417967905
10,0.01,symmetric,0.417931628
14,0.01,0.21,0.417679054
4,0.81,symmetric,0.417407287
4,0.41,0.81,0.416936724
6,symmetric,symmetric,0.4166423
10,0.81,0.81,0.416619068
12,0.01,0.41,0.416528632
6,symmetric,0.81,0.416503279
8,0.61,0.01,0.41649111
20,0.41,0.81,0.416418528
18,0.21,symmetric,0.415077405
20,0.61,0.21,0.414487331
14,symmetric,0.21,0.414468985
8,0.01,0.01,0.414363121
12,asymmetric,0.01,0.414323667
12,asymmetric,0.41,0.414123662
8,0.61,0.81,0.413894568
20,0.81,0.61,0.413744696
6,asymmetric,symmetric,0.413456735
18,0.01,0.61,0.41328315
10,0.01,0.81,0.412672534
16,0.41,0.01,0.412516976
4,0.21,0.01,0.412289152
16,symmetric,0.01,0.412048633
12,asymmetric,symmetric,0.411797718
6,asymmetric,0.81,0.411715417
8,asymmetric,symmetric,0.41128756
4,0.41,0.01,0.411220376
18,0.41,0.41,0.410725884
16,0.21,symmetric,0.410532633
4,0.01,0.81,0.409708748
12,0.81,0.81,0.409505017
16,0.41,0.21,0.409373971
14,symmetric,0.01,0.408729115
12,0.41,symmetric,0.408458079
10,symmetric,0.41,0.407966388
14,0.21,0.21,0.407835918
20,0.61,symmetric,0.40769247
20,0.41,0.01,0.407003004
18,0.21,0.61,0.40684895
8,0.21,0.21,0.40684648
18,asymmetric,symmetric,0.406793712
6,0.01,0.21,0.406128498
16,0.01,0.01,0.406059551
20,0.61,0.61,0.406025113
8,symmetric,0.21,0.404606812
16,0.41,symmetric,0.403767191
6,0.01,0.81,0.4033948
18,0.01,symmetric,0.403064564
18,0.81,0.61,0.4029439
20,symmetric,0.61,0.402257696
8,0.21,0.01,0.402182562
20,symmetric,0.01,0.401379604
20,0.41,symmetric,0.400672122
12,0.01,symmetric,0.400625164
18,0.41,symmetric,0.399951045
20,0.01,0.01,0.399941085
4,0.01,0.41,0.399297802
18,symmetric,symmetric,0.399175483
8,0.21,symmetric,0.399172207
18,0.21,0.01,0.399117115
20,0.01,symmetric,0.398493602
12,0.21,0.01,0.397617723
20,asymmetric,0.01,0.397535124
18,0.21,0.81,0.397514585
18,asymmetric,0.01,0.396078054
8,symmetric,symmetric,0.394744762
20,symmetric,symmetric,0.394727282
20,0.21,0.01,0.393620449
18,0.81,0.81,0.393376988
18,0.01,0.01,0.392759621
12,symmetric,symmetric,0.390161543
4,asymmetric,0.61,0.387579373
20,0.21,symmetric,0.382934099
20,asymmetric,symmetric,0.382492613
