embeddings_name,Num_Topics,n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_method,topic_coherence_c_v
all-mpnet-base-v2,20,25,15,20,10,eom,0.4896667916139027
all-mpnet-base-v2,8,25,15,20,10,eom,0.4896667916139027
all-mpnet-base-v2,18,25,15,20,10,eom,0.4896667916139027
all-mpnet-base-v2,4,20,25,5,5,eom,0.4888723246499481
all-mpnet-base-v2,18,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,16,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,12,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,10,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,8,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,20,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,14,15,25,20,15,eom,0.488479227137961
all-mpnet-base-v2,10,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,16,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,18,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,14,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,20,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,8,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,12,20,10,15,10,eom,0.4884354171110157
all-mpnet-base-v2,12,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,16,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,18,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,14,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,20,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,8,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,10,20,25,15,20,eom,0.4879100158580687
all-mpnet-base-v2,10,20,15,10,10,eom,0.4876559120958968
all-mpnet-base-v2,10,25,25,10,10,eom,0.4872859123012485
all-mpnet-base-v2,10,25,25,15,10,eom,0.4872296687847592
all-mpnet-base-v2,12,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,10,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,18,25,20,5,20,eom,0.4867178405244521
all-mpnet-base-v2,20,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,14,25,20,5,20,eom,0.4867178405244521
