Topic_modeling_name,model_num,lattice,initialization,mapsize_model,topographic_error,quantization_error
LDA_vector,LDA_vector_model_21_hexa_pca,hexa,pca,"(17, 17)",0.047337278106508875,0.13281510777416702
LDA_vector,LDA_vector_model_21_hexa_random,hexa,random,"(17, 17)",0.15754437869822485,0.14466876079632945
BERT_vector,BERT_vector_model_21_hexa_pca,hexa,pca,"(17, 17)",0.01849112426035503,0.11675194359128105
BERT_vector,BERT_vector_model_21_hexa_random,hexa,random,"(17, 17)",0.17233727810650887,0.11068251386447613
LDA_vector,LDA_vector_model_22_hexa_pca,hexa,pca,"(46, 34)",0.1886094674556213,0.06445348186789389
LDA_vector,LDA_vector_model_22_hexa_random,hexa,random,"(46, 34)",0.23964497041420119,0.06548849485646979
BERT_vector,BERT_vector_model_22_hexa_pca,hexa,pca,"(46, 34)",0.29363905325443784,0.030944271097587506
BERT_vector,BERT_vector_model_22_hexa_random,hexa,random,"(46, 34)",0.11908284023668639,0.043950482885328046
LDA_vector,LDA_vector_model_23_hexa_pca,hexa,pca,"(53, 19)",0.1834319526627219,0.07598048957848873
LDA_vector,LDA_vector_model_23_hexa_random,hexa,random,"(53, 19)",0.2359467455621302,0.07802900287341658
BERT_vector,BERT_vector_model_23_hexa_pca,hexa,pca,"(53, 19)",0.1227810650887574,0.04184470659549237
BERT_vector,BERT_vector_model_23_hexa_random,hexa,random,"(53, 19)",0.13239644970414202,0.04369862614134504
LDA_vector,LDA_vector_model_24_hexa_pca,hexa,pca,"(49, 20)",0.07988165680473373,0.07820552635285982
LDA_vector,LDA_vector_model_24_hexa_random,hexa,random,"(49, 20)",0.07396449704142012,0.07768520143779492
BERT_vector,BERT_vector_model_24_hexa_pca,hexa,pca,"(49, 20)",0.10428994082840237,0.04276756189781719
BERT_vector,BERT_vector_model_24_hexa_random,hexa,random,"(49, 20)",0.08136094674556213,0.05760104917366506
LDA_vector,LDA_vector_model_25_hexa_pca,hexa,pca,"(24, 39)",0.1997041420118343,0.07743726158197399
LDA_vector,LDA_vector_model_25_hexa_random,hexa,random,"(24, 39)",0.10428994082840237,0.08393177167260357
BERT_vector,BERT_vector_model_25_hexa_pca,hexa,pca,"(24, 39)",0.246301775147929,0.05160382247788379
BERT_vector,BERT_vector_model_25_hexa_random,hexa,random,"(24, 39)",0.3690828402366864,0.05159326404173968
LDA_vector,LDA_vector_model_26_hexa_pca,hexa,pca,"(51, 38)",0.1338757396449704,0.0573886693846373
LDA_vector,LDA_vector_model_26_hexa_random,hexa,random,"(51, 38)",0.15236686390532544,0.05676822431155004
BERT_vector,BERT_vector_model_26_hexa_pca,hexa,pca,"(51, 38)",0.2485207100591716,0.028582852631369827
BERT_vector,BERT_vector_model_26_hexa_random,hexa,random,"(51, 38)",0.503698224852071,0.027865981954899435
LDA_vector,LDA_vector_model_27_hexa_pca,hexa,pca,"(53, 24)",0.21449704142011836,0.06950116536877798
LDA_vector,LDA_vector_model_27_hexa_random,hexa,random,"(53, 24)",0.1227810650887574,0.07677366076121868
BERT_vector,BERT_vector_model_27_hexa_pca,hexa,pca,"(53, 24)",0.2618343195266272,0.03591674669895285
BERT_vector,BERT_vector_model_27_hexa_random,hexa,random,"(53, 24)",0.3158284023668639,0.039339131427385786
LDA_vector,LDA_vector_model_28_hexa_pca,hexa,pca,"(22, 21)",0.03920118343195266,0.11037599227688479
LDA_vector,LDA_vector_model_28_hexa_random,hexa,random,"(22, 21)",0.11686390532544379,0.11984072027841632
BERT_vector,BERT_vector_model_28_hexa_pca,hexa,pca,"(22, 21)",0.015532544378698224,0.07640287325081292
BERT_vector,BERT_vector_model_28_hexa_random,hexa,random,"(22, 21)",0.2603550295857988,0.08523879560564754
LDA_vector,LDA_vector_model_29_hexa_pca,hexa,pca,"(43, 25)",0.17381656804733728,0.07453571532131956
LDA_vector,LDA_vector_model_29_hexa_random,hexa,random,"(43, 25)",0.20414201183431951,0.07903603921317488
BERT_vector,BERT_vector_model_29_hexa_pca,hexa,pca,"(43, 25)",0.08284023668639054,0.04108847340407401
BERT_vector,BERT_vector_model_29_hexa_random,hexa,random,"(43, 25)",0.27736686390532544,0.048164828108381866
LDA_vector,LDA_vector_model_30_hexa_pca,hexa,pca,"(27, 37)",0.15976331360946747,0.07735237198856877
LDA_vector,LDA_vector_model_30_hexa_random,hexa,random,"(27, 37)",0.17899408284023668,0.08277665776940199
BERT_vector,BERT_vector_model_30_hexa_pca,hexa,pca,"(27, 37)",0.1752958579881657,0.05306326235801165
BERT_vector,BERT_vector_model_30_hexa_random,hexa,random,"(27, 37)",0.16346153846153846,0.05190611893592971
LDA_vector,LDA_vector_model_31_hexa_pca,hexa,pca,"(42, 41)",0.07988165680473373,0.059665479815199915
LDA_vector,LDA_vector_model_31_hexa_random,hexa,random,"(42, 41)",0.16715976331360946,0.06362590410070107
BERT_vector,BERT_vector_model_31_hexa_pca,hexa,pca,"(42, 41)",0.14275147928994084,0.02948793073779616
BERT_vector,BERT_vector_model_31_hexa_random,hexa,random,"(42, 41)",0.10724852071005918,0.031134610835551697
LDA_vector,LDA_vector_model_32_hexa_pca,hexa,pca,"(43, 30)",0.10946745562130178,0.07038560139782607
LDA_vector,LDA_vector_model_32_hexa_random,hexa,random,"(43, 30)",0.09319526627218935,0.07124562886943465
BERT_vector,BERT_vector_model_32_hexa_pca,hexa,pca,"(43, 30)",0.22411242603550297,0.03626057131148179
BERT_vector,BERT_vector_model_32_hexa_random,hexa,random,"(43, 30)",0.10650887573964497,0.0438312102077748
LDA_vector,LDA_vector_model_33_hexa_pca,hexa,pca,"(32, 24)",0.20192307692307693,0.08782943041342779
LDA_vector,LDA_vector_model_33_hexa_random,hexa,random,"(32, 24)",0.1309171597633136,0.0937586153781893
BERT_vector,BERT_vector_model_33_hexa_pca,hexa,pca,"(32, 24)",0.14127218934911243,0.05387681363570913
BERT_vector,BERT_vector_model_33_hexa_random,hexa,random,"(32, 24)",0.15680473372781065,0.05684827423641185
LDA_vector,LDA_vector_model_34_hexa_pca,hexa,pca,"(54, 48)",0.22189349112426035,0.0498855932588658
LDA_vector,LDA_vector_model_34_hexa_random,hexa,random,"(54, 48)",0.16937869822485208,0.045621164924824355
BERT_vector,BERT_vector_model_34_hexa_pca,hexa,pca,"(54, 48)",0.15014792899408283,0.022756909963233065
BERT_vector,BERT_vector_model_34_hexa_random,hexa,random,"(54, 48)",0.3801775147928994,0.028319104838416532
LDA_vector,LDA_vector_model_35_hexa_pca,hexa,pca,"(26, 22)",0.07174556213017752,0.10177386802029838
LDA_vector,LDA_vector_model_35_hexa_random,hexa,random,"(26, 22)",0.047337278106508875,0.10572692278983546
BERT_vector,BERT_vector_model_35_hexa_pca,hexa,pca,"(26, 22)",0.040680473372781065,0.0647027721076657
BERT_vector,BERT_vector_model_35_hexa_random,hexa,random,"(26, 22)",0.2403846153846154,0.0723299857559443
LDA_vector,LDA_vector_model_36_hexa_pca,hexa,pca,"(32, 44)",0.20414201183431951,0.06653141228861555
LDA_vector,LDA_vector_model_36_hexa_random,hexa,random,"(32, 44)",0.17233727810650887,0.06578289319416757
BERT_vector,BERT_vector_model_36_hexa_pca,hexa,pca,"(32, 44)",0.22115384615384615,0.033520406927570134
BERT_vector,BERT_vector_model_36_hexa_random,hexa,random,"(32, 44)",0.05621301775147929,0.0403238272326718
LDA_vector,LDA_vector_model_37_hexa_pca,hexa,pca,"(34, 25)",0.27736686390532544,0.08342332224660524
LDA_vector,LDA_vector_model_37_hexa_random,hexa,random,"(34, 25)",0.22411242603550297,0.08671101193354462
BERT_vector,BERT_vector_model_37_hexa_pca,hexa,pca,"(34, 25)",0.08949704142011834,0.05013608336601501
BERT_vector,BERT_vector_model_37_hexa_random,hexa,random,"(34, 25)",0.05029585798816568,0.07185011897324999
LDA_vector,LDA_vector_model_38_hexa_pca,hexa,pca,"(26, 26)",0.0650887573964497,0.09133016451160787
LDA_vector,LDA_vector_model_38_hexa_random,hexa,random,"(26, 26)",0.15162721893491124,0.08933774639561164
BERT_vector,BERT_vector_model_38_hexa_pca,hexa,pca,"(26, 26)",0.06360946745562131,0.05925498456342802
BERT_vector,BERT_vector_model_38_hexa_random,hexa,random,"(26, 26)",0.07248520710059171,0.05885458509106745
LDA_vector,LDA_vector_model_39_hexa_pca,hexa,pca,"(45, 37)",0.14940828402366865,0.0619670043533831
LDA_vector,LDA_vector_model_39_hexa_random,hexa,random,"(45, 37)",0.1952662721893491,0.05878076821556002
BERT_vector,BERT_vector_model_39_hexa_pca,hexa,pca,"(45, 37)",0.26331360946745563,0.03068309885995586
BERT_vector,BERT_vector_model_39_hexa_random,hexa,random,"(45, 37)",0.4156804733727811,0.036679652641048166
LDA_vector,LDA_vector_model_40_hexa_pca,hexa,pca,"(35, 42)",0.14275147928994084,0.06608838229441605
LDA_vector,LDA_vector_model_40_hexa_random,hexa,random,"(35, 42)",0.23076923076923078,0.06768549794866556
BERT_vector,BERT_vector_model_40_hexa_pca,hexa,pca,"(35, 42)",0.125,0.03902987140306175
BERT_vector,BERT_vector_model_40_hexa_random,hexa,random,"(35, 42)",0.2566568047337278,0.03818129717780972
LDA_vector,LDA_vector_model_41_hexa_pca,hexa,pca,"(29, 15)",0.15088757396449703,0.11338878546895573
LDA_vector,LDA_vector_model_41_hexa_random,hexa,random,"(29, 15)",0.08210059171597633,0.11723514724384973
BERT_vector,BERT_vector_model_41_hexa_pca,hexa,pca,"(29, 15)",0.030325443786982247,0.08096777937130716
BERT_vector,BERT_vector_model_41_hexa_random,hexa,random,"(29, 15)",0.5244082840236687,0.09481725763288215
LDA_vector,LDA_vector_model_42_hexa_pca,hexa,pca,"(49, 17)",0.13757396449704143,0.08213286526521149
LDA_vector,LDA_vector_model_42_hexa_random,hexa,random,"(49, 17)",0.04807692307692308,0.08418845947006534
BERT_vector,BERT_vector_model_42_hexa_pca,hexa,pca,"(49, 17)",0.09097633136094675,0.047323354218679
BERT_vector,BERT_vector_model_42_hexa_random,hexa,random,"(49, 17)",0.11686390532544379,0.05578400038439668
LDA_vector,LDA_vector_model_43_hexa_pca,hexa,pca,"(36, 35)",0.2603550295857988,0.06979475620149342
LDA_vector,LDA_vector_model_43_hexa_random,hexa,random,"(36, 35)",0.22411242603550297,0.07089621127109084
BERT_vector,BERT_vector_model_43_hexa_pca,hexa,pca,"(36, 35)",0.15310650887573965,0.03979290989776513
BERT_vector,BERT_vector_model_43_hexa_random,hexa,random,"(36, 35)",0.19230769230769232,0.047214475061489486
LDA_vector,LDA_vector_model_44_hexa_pca,hexa,pca,"(30, 20)",0.15458579881656806,0.10004099672126338
LDA_vector,LDA_vector_model_44_hexa_random,hexa,random,"(30, 20)",0.2559171597633136,0.09838503700873642
