topic_model_vector,nclus,avg_silhouette
lda,2,0.24035096601279635
lda,3,0.32859476587106934
lda,4,0.4214013819874132
lda,5,0.49277745718124677
lda,6,0.5337870944341653
lda,7,0.5524685414347419
lda,8,0.513037821788693
lda,9,0.4939000617391193
